genotype,labeled,sex,which_eye,quadrant,cell_type,animal_id,peak_FR,baseline_FR,min_spikes_ON,min_spikes_OFF,min_size_ON,min_size_OFF,peak_size_ON,peak_size_OFF,peak_spikes_ON,peak_spikes_OFF,half_peak_size,SI
NF1(WT/WT),,Female,Left,DT,ON alpha,DJID_2291,233.333333333333,0,0,0,30,30,314,224,76,3.66666666666667,130.652173913043,0.438485804416404
NF1(WT/WT),,Female,Left,DT,ON alpha,DJID_2291,266.666666666667,0,0,0,30,30,160,314,126.333333333333,71,78.3649425287356,0.566115702479339
NF1(WT/WT),,Female,Left,DN,ON alpha,DJID_2291,366.666666666667,0,6,0,30,42,314,314,133.666666666667,12.3333333333333,121.75,0.204204204204204
NF1(WT/WT),,Female,Left,DT,ON alpha,DJID_2291,266.666666666667,0.222222,0,0,30,30,314,314,101,9.33333333333333,188.679245283019,0.192913385826772
NF1(WT/WT),,Female,Left,DN,ON alpha,DJID_2291,366.666666666667,0,0,0,30,30,439,439,139,13.6666666666667,150.448113207547,0.0859375
NF1(NF1-KO/WT),,Male,Right,DN,ON alpha,DJID_2298,450,1.55556,9.5,0,30,42,439,858,231.5,23.5,118.952702702703,0.0153508771929825
NF1(NF1-KO/WT),,Male,Right,DN,ON alpha,DJID_2298,400,0.166667,0,0,42,82,1200,1200,170.666666666667,14.6666666666667,212.451127819549,0
NF1(NF1-KO/WT),,Male,Right,DT,ON alpha,DJID_2298,400,1.77778,4,1,30,42,224,439,140,12.3333333333333,108.671232876712,0.0796915167095116
NF1(NF1-KO/WT),,Male,Right,DT,ON alpha,DJID_2298,266.666666666667,0,0,0,30,30,439,314,101,6,186.985074626866,0.118081180811808
NF1(NF1-KO/WT),,Male,Right,DT,ON alpha,DJID_2298,266.666666666667,0.611111,0.333333333333333,0,30,30,314,314,70.3333333333333,3,135.644329896907,0.31875
NF1(NF1-KO/WT),,Male,Right,DT,ON alpha,DJID_2298,300,6.86111,4.66666666666667,2,30,59,314,314,133,22.5,97.1145038167939,0.3125
NF1(NF1-KO/WT),,Male,Right,DT,ON alpha,DJID_2298,366.666666666667,0,0.333333333333333,0,42,42,314,224,101.333333333333,7.66666666666667,139.107142857143,0.180582524271845
NF1(NF1-KO/WT),,Male,Right,DN,ON alpha,DJID_2298,466.666666666667,0,0,0,30,30,439,439,173.333333333333,16,191.364238410596,0.0256410256410257
NF1(NF1-KO/WT),,Male,Right,DT,ON alpha,DJID_2298,233.333333333333,0.111111,0,0,30,30,224,224,122.333333333333,13.3333333333333,149.147058823529,0.374531835205992
NF1(NF1-KO/WT),,Male,Right,DT,ON alpha,DJID_2298,266.666666666667,3.83333,4,1.33333333333333,30,82,314,439,94,7,155.754716981132,0.236842105263158
NF1(NF1-KO/WT),,Male,Right,DT,ON alpha,DJID_2298,200,4.5,1.66666666666667,0.333333333333333,42,42,314,858,70.3333333333333,10.3333333333333,178.909090909091,0.450171821305842
NF1(NF1-KO/WT),,Male,Right,DT,ON alpha,DJID_2298,266.666666666667,2.94444,3,1.66666666666667,30,30,314,314,89.3333333333333,11.3333333333333,98.125,0.350125944584383
NF1(WT/WT),,Male,Right,DN,ON alpha,DJID_2297,266.666666666667,0,0,0,30,30,314,314,139,37.3333333333333,141.957547169811,0.37171052631579
NF1(WT/WT),,Male,Right,DT,ON alpha,DJID_2297,266.666666666667,0.666667,0.666666666666667,0,30,30,224,224,94.6666666666667,21.3333333333333,123.300970873786,0.456410256410256
NF1(WT/WT),,Male,Right,DN,ON alpha,DJID_2297,350,0.0833333,0,0,30,42,439,614,190,46.5,149.151785714286,0.136023916292975
NF1(WT/WT),,Male,Right,DT,ON alpha,DJID_2297,200,22.4444,17.6666666666667,13,42,42,224,224,79.3333333333333,39.3333333333333,65,0.286486486486486
NF1(WT/WT),,Male,Right,DN,ON alpha,DJID_2297,233.333333333333,0.277778,1.66666666666667,1,30,30,439,439,104,52.3333333333333,117.41935483871,0.344827586206897
NF1(WT/WT),,Male,Right,DT,ON alpha,DJID_2297,266.666666666667,16.5556,23,8.33333333333333,30,115,314,314,115.333333333333,54.3333333333333,123.052631578947,0.364891518737673
